zip,geoid,state,res_ratio,tot_ratio
00656,7205967696,PR,0.00102,0.000979
00656,7205948518,PR,0.045397,0.044047
00656,7205936220,PR,0.059041,0.056772
00656,7205972813,PR,0.001275,0.002692
00656,7205907840,PR,0.004846,0.006118
00656,7205932350,PR,0.885871,0.886945
00656,7205937381,PR,0.00255,0.002447
00659,7201333554,PR,0.000333,0.000308
00659,7201333511,PR,0.005154,0.004847
00659,7201323836,PR,0.006733,0.006309
00659,7206511624,PR,0.002494,0.007309
00659,7206513688,PR,0.007315,0.008156
00659,7206514677,PR,0.112469,0.133108
00659,7206507066,PR,0.004239,0.003924
00659,7206533339,PR,0.583957,0.546511
00659,7206520525,PR,0.003242,0.003078
00659,7206533382,PR,0.274065,0.286451
00660,7206731060,PR,0.285138,0.284421
00660,7206735102,PR,0.04968,0.063394
00660,7206737768,PR,0.000139,0.000131
00660,7209771308,PR,0.000557,0.000525
00660,7206735075,PR,0.478152,0.466203
00660,7206745035,PR,0.186335,0.185326
00662,7207162407,PR,0.002625,0.002424
00662,7200554108,PR,0.001212,0.001305
00662,7207103669,PR,0.038574,0.037113
00662,7207129899,PR,0.006059,0.005595
00662,7211510076,PR,0.000858,0.000793
00662,7207129985,PR,0.027264,0.029373
00662,7207121084,PR,0.051702,0.049142
00662,7209900229,PR,0.008937,0.008532
00662,7207145809,PR,0.016157,0.015013
00662,7207107324,PR,0.145511,0.142857
00662,7207136521,PR,0.31854,0.326697
00662,7207104805,PR,0.027012,0.026576
00662,7207132737,PR,0.068414,0.071708
00662,7207154925,PR,0.109108,0.105558
00662,7207132092,PR,0.028678,0.027415
00662,7207103712,PR,0.084015,0.086954
00662,7207138757,PR,0.065334,0.062943
00664,7207338413,PR,0.710149,0.716935
00664,7207371007,PR,0.01594,0.014641
00664,7207385670,PR,0.072264,0.068082
00664,7207318676,PR,0.048087,0.046364
00664,7207319192,PR,0.012487,0.011713
00664,7207338542,PR,0.138682,0.140068
00664,7207349937,PR,0.002391,0.002196
00667,7207941036,PR,0.714667,0.71293
00667,7207979091,PR,0.001669,0.001582
00667,7207974318,PR,0.098709,0.099557
00667,7212148346,PR,0.001002,0.001055
00667,7207940993,PR,0.052192,0.055368
00667,7207958193,PR,0.003116,0.002953
00667,7207962579,PR,0.00957,0.01255
00667,7207912398,PR,0.020365,0.019722
00667,7207921041,PR,0.005898,0.00559
00667,7207959526,PR,0.092811,0.088694
00669,7208127319,PR,0.000384,0.000362
00669,7208142584,PR,0.572635,0.592016
00669,7208142541,PR,0.171381,0.163893
00669,7208164600,PR,0.2556,0.243729
00670,7208329770,PR,0.002931,0.004941
00670,7208343831,PR,0.870726,0.863805
00670,7208350539,PR,0.029632,0.03181
00670,7208303110,PR,0.003256,0.006177
00670,7208350600,PR,0.093455,0.093267
00674,7209170362,PR,0.080126,0.073913
00674,7209170319,PR,0.002412,0.002154
00674,7209104916,PR,0.007984,0.007386
00674,7209182230,PR,0.044457,0.040829
00674,7209182273,PR,0.161861,0.149005
00674,7209121342,PR,0.227972,0.2242
00674,7210105260,PR,0.011315,0.010361
00674,7209104873,PR,0.00201,0.002411
00674,7201730415,PR,0.000632,0.000564
00674,7214566019,PR,0.000517,0.002
00674,7214588379,PR,0.001321,0.00118
00674,7209150195,PR,0.282079,0.314731
00674,7209121471,PR,0.164618,0.158751
00674,7214501734,PR,0.012694,0.012515
00676,7209987648,PR,0.000515,0.000487
00676,7213133640,PR,0.001132,0.001071
00676,7209964643,PR,0.998354,0.998442
00677,7211764686,PR,0.49359,0.479857
00677,7211711065,PR,0.036971,0.036436
00677,7211766449,PR,0.002385,0.0022
00677,7211726846,PR,0.122093,0.123333
00677,7211769631,PR,0.295915,0.312938
00677,7211771093,PR,0.049046,0.045236
00678,7211575823,PR,0.092795,0.088754
00678,7211568083,PR,0.393962,0.410554
00678,7211530716,PR,0.0025,0.002336
00678,7211576597,PR,0.053343,0.052249
00678,7211510076,PR,0.227264,0.222145
00678,7211518934,PR,0.109928,0.107439
00678,7211581972,PR,0.120207,0.116522
00680,7209752474,PR,0.540951,0.572472
00680,7209706464,PR,0.002964,0.002553
00680,7209752560,PR,0.109188,0.096669
00680,7209739101,PR,0.027944,0.024417
00680,7202360601,PR,0,0.00004
00680,7209770878,PR,0.000659,0.000559
00680,7209772340,PR,0.000706,0.000598
00680,7209771308,PR,0.047467,0.04229
00680,7209772899,PR,0.137367,0.1309
00680,7209731103,PR,0.048125,0.056214
00680,7201102637,PR,0.000047,0.00004
00680,7206737768,PR,0.000141,0.00012
00680,7209756000,PR,0.000847,0.000718
00680,7209753420,PR,0.001599,0.001436
00680,7206731060,PR,0.001458,0.001436
