zip,geoid,state,res_ratio,tot_ratio
01011,44140,MA,0.890208,0.897119
01011,11200,MA,0.109792,0.102881
01012,11200,MA,1,1
01013,44140,MA,1,1
01014,44140,MA,1,1
01020,44140,MA,1,1
01021,44140,MA,1,1
01022,44140,MA,1,1
01026,11200,MA,0.953368,0.956869
01026,38340,MA,0.046632,0.043131
01027,11200,MA,1,1
01028,44140,MA,1,1
01029,38340,MA,1,1
01030,44140,MA,1,1
01031,11200,MA,0.001667,0.003205
01031,49340,MA,0.998333,0.996795
01032,11200,MA,1,1
01033,44140,MA,0.002268,0.00212
01033,11200,MA,0.997732,0.99788
01034,44140,MA,1,1
01035,11200,MA,1,1
01036,44140,MA,1,1
01037,49340,MA,1,1
01038,11200,MA,1,1
01039,11200,MA,0.810888,0.817935
01039,24640,MA,0.189112,0.182065
01040,44140,MA,1,1
01041,44140,MA,1,1
01050,11200,MA,0.86566,0.8701
01050,44140,MA,0.13434,0.1299
01053,11200,MA,1,1
01054,24640,MA,1,1
01056,44140,MA,1,1
01057,44140,MA,1,1
01059,11200,MA,0,1
01060,11200,MA,1,1
01061,11200,MA,1,1
01062,11200,MA,1,1
01063,11200,MA,0,1
01066,11200,MA,1,1
01068,49340,MA,1,1
01069,44140,MA,0.996717,0.997193
01069,11200,MA,0.003283,0.002807
01070,24640,MA,0,0.002933
01070,38340,MA,0.009288,0.008798
01070,11200,MA,0.990712,0.98827
01071,44140,MA,1,1
01072,24640,MA,1,1
01073,44140,MA,0.003611,0.003403
01073,11200,MA,0.996389,0.996597
01074,49340,MA,0,1
01075,11200,MA,1,1
01077,44140,MA,1,1
01079,44140,MA,0,1
01080,44140,MA,1,1
01081,44140,MA,1,1
01082,49340,MA,0.066628,0.068263
01082,44140,MA,0.002922,0.002566
01082,11200,MA,0.93045,0.92917
01083,49340,MA,1,1
01084,11200,MA,1,1
01085,11200,MA,0.000398,0.000396
01085,44140,MA,0.999602,0.999604
01086,44140,MA,1,1
01088,11200,MA,1,1
01089,44140,MA,1,1
01090,44140,MA,1,1
01092,49340,MA,0,1
01093,24640,MA,0,1
01094,49340,MA,0,1
01095,44140,MA,1,1
01096,24640,MA,0.056232,0.054758
01096,11200,MA,0.943768,0.945242
01097,44140,MA,0,1
01098,11200,MA,1,1
01101,44140,MA,1,1
01103,44140,MA,1,1
01104,44140,MA,1,1
01105,44140,MA,1,1
01106,44140,MA,1,1
01107,44140,MA,1,1
01108,44140,MA,1,1
01109,44140,MA,1,1
01111,44140,MA,0,1
01115,44140,MA,0,1
01116,44140,MA,1,1
01118,44140,MA,1,1
01119,44140,MA,1,1
01128,44140,MA,1,1
01129,44140,MA,1,1
01138,44140,MA,1,1
01139,44140,MA,1,1
01144,44140,MA,0,1
01151,44140,MA,1,1
01152,44140,MA,0,1
01199,44140,MA,0,1
01201,38340,MA,1,1
01202,38340,MA,1,1
01220,38340,MA,1,1
01222,38340,MA,1,1
01223,44140,MA,0.0013,0.00127
01223,38340,MA,0.9987,0.99873
01224,38340,MA,1,1
01225,38340,MA,1,1
01226,38340,MA,1,1
01227,38340,MA,1,1
01229,38340,MA,0,1
01230,38340,MA,1,1
01235,11200,MA,0.039718,0.034586
01235,38340,MA,0.960282,0.965414
01236,38340,MA,1,1
01237,38340,MA,1,1
01238,38340,MA,1,1
01240,38340,MA,1,1
01242,38340,MA,0,1
01243,11200,MA,0,1
01244,38340,MA,0,1
01245,38340,MA,1,1
01247,38340,MA,0.99552,0.996158
01247,24640,MA,0.00448,0.003842
01252,38340,MA,0,1
01253,38340,MA,1,1
01254,38340,MA,1,1
01255,38340,MA,1,1
01256,38340,MA,1,1
01257,38340,MA,1,1
01258,38340,MA,1,1
01259,38340,MA,1,1
01260,38340,MA,0,1
01262,38340,MA,0,1
01263,38340,MA,0,1
01264,38340,MA,0,1
01266,38340,MA,1,1
01267,38340,MA,1,1
01270,11200,MA,0.004435,0.004246
01270,38340,MA,0.995565,0.995754
01301,24640,MA,1,1
01302,24640,MA,1,1
01330,11200,MA,0.019084,0.017606
01330,24640,MA,0.980916,0.982394
01331,49340,MA,0.999129,0.999087
01331,24640,MA,0.000871,0.000913
01337,24640,MA,1,1
01338,24640,MA,1,1
01339,24640,MA,1,1
01340,24640,MA,1,1
01341,24640,MA,1,1
01342,24640,MA,1,1
01343,38340,MA,0.744681,0.712871
01343,24640,MA,0.255319,0.287129
01344,24640,MA,1,1
01346,24640,MA,1,1
01347,24640,MA,0,1
01349,24640,MA,1,1
01350,24640,MA,1,1
01351,24640,MA,1,1
01354,24640,MA,1,1
01355,24640,MA,1,1
01360,24640,MA,1,1
01364,24640,MA,0.997866,0.997686
01364,49340,MA,0.002134,0.002314
01366,49340,MA,1,1
01367,38340,MA,0.067093,0.065868
01367,24640,MA,0.932907,0.934132
01368,49340,MA,1,1
01370,24640,MA,1,1
01373,24640,MA,1,1
01375,24640,MA,1,1
01376,24640,MA,1,1
01378,24640,MA,1,1
01379,24640,MA,1,1
01380,24640,MA,1,1
01420,49340,MA,1,1
01430,49340,MA,1,1
01431,14460,MA,0.998424,0.998503
01431,49340,MA,0.001576,0.001497
01432,14460,MA,1,1
01434,49340,MA,0.835913,0.745242
01434,14460,MA,0.164087,0.254758
01436,49340,MA,1,1
01438,49340,MA,1,1
01440,49340,MA,1,1
01441,49340,MA,0,1
01450,14460,MA,1,1
01451,49340,MA,0.989411,0.990405
01451,14460,MA,0.010589,0.009595
01452,49340,MA,1,1
01453,49340,MA,1,1
01460,14460,MA,1,1
01462,49340,MA,0.998732,0.998821
01462,14460,MA,0.001268,0.001179
01463,14460,MA,1,1
01464,14460,MA,1,1
01467,49340,MA,0,1
01468,49340,MA,1,1
01469,14460,MA,1,1
01472,14460,MA,0,1
01473,49340,MA,1,1
01474,14460,MA,1,1
01475,49340,MA,1,1
01501,49340,MA,1,1
01503,49340,MA,0.996087,0.995223
01503,14460,MA,0.003913,0.004777
01504,49340,MA,0.998475,0.998617
01504,14460,MA,0.001525,0.001383
01505,49340,MA,1,1
01506,49340,MA,1,1
01507,49340,MA,1,1
01508,49340,MA,1,1
01509,49340,MA,1,1
01510,49340,MA,1,1
01515,49340,MA,1,1
01516,49340,MA,1,1
01518,49340,MA,1,1
01519,49340,MA,1,1
01520,49340,MA,1,1
01521,44140,MA,1,1
01522,49340,MA,1,1
01523,49340,MA,1,1
01524,49340,MA,1,1
01525,49340,MA,1,1
01526,49340,MA,0,1
01527,49340,MA,1,1
01529,49340,MA,1,1
01531,49340,MA,1,1
01532,49340,MA,1,0.99988
01532,14460,MA,0,0.00012
01534,49340,MA,1,1
01535,49340,MA,1,1
01536,49340,MA,1,1
01537,49340,MA,1,1
01538,49340,MA,1,1
01540,49340,MA,1,1
01541,49340,MA,1,1
01542,49340,MA,1,1
01543,49340,MA,1,1
01545,49340,MA,1,1
01546,49340,MA,0,1
01550,49340,MA,1,1
01560,49340,MA,1,1
01561,49340,MA,0,1
01562,49340,MA,1,1
01564,49340,MA,1,1
01566,49340,MA,1,1
01568,49340,MA,1,1
01569,49340,MA,1,1
01570,49340,MA,1,1
01571,49340,MA,1,1
01581,49340,MA,1,1
01583,49340,MA,1,1
01585,49340,MA,1,1
01586,49340,MA,1,1
01588,49340,MA,1,1
01590,49340,MA,1,1
01602,49340,MA,1,1
01603,49340,MA,1,1
01604,49340,MA,1,1
01605,49340,MA,1,1
01606,49340,MA,1,1
01607,49340,MA,1,1
01608,49340,MA,1,1
01609,49340,MA,1,1
01610,49340,MA,1,1
01611,49340,MA,1,1
01612,49340,MA,1,1
01613,49340,MA,1,1
01653,49340,MA,0,1
01655,49340,MA,0,1
01701,14460,MA,1,1
01702,14460,MA,1,1
01703,14460,MA,1,1
01704,14460,MA,1,1
01718,14460,MA,1,1
01719,14460,MA,1,1
01720,14460,MA,1,1
01721,14460,MA,1,1
01730,14460,MA,1,1
01731,14460,MA,1,1
01740,49340,MA,1,1
01741,14460,MA,1,1
01742,14460,MA,1,1
01745,49340,MA,1,1
01746,14460,MA,1,1
01747,49340,MA,1,1
01748,14460,MA,0.999363,0.999313
01748,49340,MA,0.000637,0.000687
01749,49340,MA,0.000427,0.000457
01749,14460,MA,0.999573,0.999543
01752,49340,MA,0.000198,0.000203
01752,14460,MA,0.999802,0.999797
01754,14460,MA,1,1
01756,14460,MA,0.001416,0.001273
01756,49340,MA,0.998584,0.998727
01757,49340,MA,1,1
01760,14460,MA,1,1
01770,14460,MA,1,1
01772,49340,MA,1,1
01773,14460,MA,1,1
01775,14460,MA,1,1
01776,14460,MA,1,1
