state,candidate,phase,positive_cents,net_cents,count
IL,C00369033,between_primary_runoff,3780016,3780016,33
IL,C00369033,pre_primary,2001400,1993900,23
IL,C00901918,between_primary_runoff,1097452,1097452,79
IL,C00901918,post_runoff,347154,347154,52
IL,C00901918,pre_primary,3739069,3739069,56
IL,C00919084,between_primary_runoff,16297546,16297546,1123
IL,C00919084,post_runoff,13741976,13741976,757
IL,C00919084,pre_primary,18200571,18200571,821
IN,C00369033,between_primary_runoff,130499,130499,4
IN,C00369033,pre_primary,535060,535060,56
IN,C00901918,between_primary_runoff,350168,350168,39
IN,C00901918,post_runoff,133551,133551,25
IN,C00901918,pre_primary,436512,436512,20
IN,C00919084,between_primary_runoff,2918247,2918247,330
IN,C00919084,post_runoff,2848036,2848036,240
IN,C00919084,pre_primary,2447225,2447225,245
KS,C00369033,between_primary_runoff,1436000,1436000,14
KS,C00369033,pre_primary,1686351,1683551,33
KS,C00901918,between_primary_runoff,767639,767639,43
KS,C00901918,post_runoff,438424,438424,30
KS,C00901918,pre_primary,368500,368500,31
KS,C00919084,between_primary_runoff,1299032,1299032,207
KS,C00919084,post_runoff,1376596,1376596,114
KS,C00919084,pre_primary,2105350,2105350,157
KY,C00369033,between_primary_runoff,250000,250000,2
KY,C00369033,pre_primary,800000,800000,9
KY,C00901918,between_primary_runoff,118510,118510,8
KY,C00901918,post_runoff,26025,-52050,3
KY,C00901918,pre_primary,2860591,1460591,8
KY,C00919084,between_primary_runoff,986550,986550,154
KY,C00919084,post_runoff,1257086,1257086,107
KY,C00919084,pre_primary,3214652,3214652,139
LA,C00369033,between_primary_runoff,650580,650580,6
LA,C00369033,pre_primary,415196,415196,27
LA,C00901918,between_primary_runoff,350681,350681,25
LA,C00901918,post_runoff,289230,289230,14
LA,C00901918,pre_primary,1972579,1972579,17
LA,C00919084,between_primary_runoff,3762185,3762185,302
LA,C00919084,post_runoff,2142450,2142450,199
LA,C00919084,pre_primary,3031083,3031083,193
MA,C00369033,between_primary_runoff,950000,950000,9
MA,C00369033,pre_primary,5208144,5208144,32
MA,C00901918,between_primary_runoff,352587,352587,35
MA,C00901918,post_runoff,456761,456761,22
MA,C00901918,pre_primary,446755,446755,27
MA,C00919084,between_primary_runoff,28577415,28577415,1286
MA,C00919084,post_runoff,25162189,25162189,936
MA,C00919084,pre_primary,23211096,23211096,862
MD,C00369033,between_primary_runoff,2672500,2672500,24
MD,C00369033,pre_primary,3243458,3243458,19
MD,C00901918,between_primary_runoff,1407165,1407165,35
MD,C00901918,post_runoff,410921,384896,19
MD,C00901918,pre_primary,1128499,1128499,25
MD,C00919084,between_primary_runoff,16185807,16185807,953
MD,C00919084,post_runoff,13007723,13007723,695
MD,C00919084,pre_primary,15459961,15459961,650
ME,C00369033,pre_primary,50000,50000,1
ME,C00901918,between_primary_runoff,52384,52384,11
ME,C00901918,post_runoff,10062,10062,3
ME,C00901918,pre_primary,40000,40000,3
ME,C00919084,between_primary_runoff,2323374,2323374,199
ME,C00919084,post_runoff,2665185,2665185,187
ME,C00919084,pre_primary,1825796,1825796,111
MI,C00369033,between_primary_runoff,2140300,2140300,20
MI,C00369033,pre_primary,433500,433500,8
MI,C00901918,between_primary_runoff,189423,169423,29
MI,C00901918,post_runoff,105922,105922,32
MI,C00901918,pre_primary,464783,464783,44
MI,C00919084,between_primary_runoff,4853810,4853810,613
MI,C00919084,post_runoff,5756154,5756154,474
MI,C00919084,pre_primary,6195345,6195345,455
MN,C00369033,between_primary_runoff,402500,402500,7
MN,C00369033,post_runoff,0,-50000,0
MN,C00369033,pre_primary,1006449,981449,59
MN,C00901918,between_primary_runoff,637067,637067,15
MN,C00901918,post_runoff,53014,53014,8
MN,C00901918,pre_primary,256230,256230,17
MN,C00919084,between_primary_runoff,6388045,6388045,553
MN,C00919084,post_runoff,4445529,4445529,363
MN,C00919084,pre_primary,8377154,8377154,347
MO,C00369033,between_primary_runoff,535000,535000,11
MO,C00369033,pre_primary,740000,740000,14
MO,C00901918,between_primary_runoff,422542,422542,38
MO,C00901918,post_runoff,97806,97806,18
MO,C00901918,pre_primary,2298535,2298535,23
MO,C00919084,between_primary_runoff,4323327,4323327,377
MO,C00919084,post_runoff,4699312,4699312,300
MO,C00919084,pre_primary,4251875,4251875,272
MS,C00369033,between_primary_runoff,250000,250000,2
MS,C00369033,pre_primary,266153,265456,5
MS,C00901918,between_primary_runoff,135931,135931,8
MS,C00901918,post_runoff,23373,23373,6
MS,C00901918,pre_primary,60000,60000,2
MS,C00919084,between_primary_runoff,1145924,1145924,70
MS,C00919084,post_runoff,1029612,1029612,42
MS,C00919084,pre_primary,1630026,1630026,92
MT,C00369033,between_primary_runoff,100000,100000,2
MT,C00369033,pre_primary,50000,50000,1
MT,C00901918,between_primary_runoff,124906,124906,10
MT,C00901918,post_runoff,86834,86834,13
MT,C00901918,pre_primary,185069,185069,20
MT,C00919084,between_primary_runoff,1453496,1453496,113
MT,C00919084,post_runoff,936096,936096,75
MT,C00919084,pre_primary,1617176,1617176,81
NC,C00369033,between_primary_runoff,679490,679490,16
NC,C00369033,pre_primary,895851,895851,74
NC,C00901918,between_primary_runoff,394452,394452,48
NC,C00901918,post_runoff,388795,388795,47
NC,C00901918,pre_primary,1717791,1717791,20
NC,C00919084,between_primary_runoff,9447023,9447023,994
NC,C00919084,post_runoff,8928065,8928065,716
NC,C00919084,pre_primary,11481358,11481358,851
ND,C00369033,between_primary_runoff,50000,50000,1
ND,C00369033,pre_primary,50000,50000,1
ND,C00901918,between_primary_runoff,106395,106395,7
ND,C00901918,post_runoff,33500,33500,2
ND,C00901918,pre_primary,75000,75000,3
ND,C00919084,between_primary_runoff,159100,159100,29
ND,C00919084,post_runoff,280892,280892,18
ND,C00919084,pre_primary,222326,222326,19
NE,C00369033,between_primary_runoff,55000,55000,2
NE,C00369033,pre_primary,60000,60000,2
