state,candidate,month,positive_cents,net_cents,count
CA,C00369033,2026-05,45125,45125,7
CA,C00901918,2025-04,96845,96845,4
CA,C00901918,2025-05,210410,210410,3
CA,C00901918,2025-06,1510000,1510000,5
CA,C00901918,2025-07,72405,72405,5
CA,C00901918,2025-08,110905,110905,8
CA,C00901918,2025-09,1518225,1518225,10
CA,C00901918,2025-10,155138,-194862,16
CA,C00901918,2025-11,416615,416615,10
CA,C00901918,2025-12,109013,109013,10
CA,C00901918,2026-01,819910,819910,12
CA,C00901918,2026-02,922461,922461,55
CA,C00901918,2026-03,1150788,1150788,94
CA,C00901918,2026-04,521676,521676,48
CA,C00901918,2026-05,2033932,2033932,158
CA,C00901918,2026-06,1829634,1800922,135
CA,C00919084,2025-04,1000,1000,1
CA,C00919084,2025-05,833,833,1
CA,C00919084,2025-06,2666,2666,3
CA,C00919084,2025-07,1000,1000,1
CA,C00919084,2025-08,1833,1833,2
CA,C00919084,2025-09,13758685,13758685,246
CA,C00919084,2025-10,6639526,6639526,338
CA,C00919084,2025-11,11296049,11296049,334
CA,C00919084,2025-12,8313322,8313322,452
CA,C00919084,2026-01,20266567,20266567,956
CA,C00919084,2026-02,47991086,47991086,2238
CA,C00919084,2026-03,48337957,48337957,2105
CA,C00919084,2026-04,49927967,49927967,2155
CA,C00919084,2026-05,59967773,59967773,3755
CA,C00919084,2026-06,48457495,48457495,3339
CO,C00369033,2025-03,200,200,1
CO,C00369033,2025-05,52051,52051,1
CO,C00369033,2025-07,700000,700000,2
CO,C00369033,2025-08,100000,100000,1
CO,C00369033,2025-10,401100,401100,4
CO,C00369033,2025-12,7600000,7600000,27
CO,C00369033,2026-01,65000,65000,2
CO,C00369033,2026-02,100000,100000,2
CO,C00369033,2026-03,300,300,1
CO,C00369033,2026-04,530000,530000,4
CO,C00369033,2026-05,140000,140000,4
CO,C00901918,2025-04,149512,149512,4
CO,C00901918,2025-05,15705,15705,2
CO,C00901918,2025-06,777756,777756,5
CO,C00901918,2025-07,55205,55205,2
